Name,prompt,negative prompt,
MK Chromolithography,"Chromolithograph {prompt}. Vibrant colors, intricate details, rich color saturation, meticulous registration, multi-layered printing, decorative elements, historical charm, artistic reproductions, commercial posters, nostalgic, ornate compositions.","monochromatic, simple designs, limited color palette, imprecise, minimalistic, modern, digital art.",
MK Cross Processing Print,"Cross processing print {prompt}. Experimental color shifts, unconventional tonalities, vibrant and surreal hues, high contrast, unpredictable results, artistic unpredictability, retro and vintage feel, dynamic color interplay, abstract and dreamlike.","predictable color tones, traditional, realistic color representation, low contrast.",
MK Dufaycolor Photograph,"Dufaycolor photograph {prompt}. Vintage color palette, distinctive color rendering, soft and dreamy atmosphere, historical charm, unique color process, grainy texture, evocative mood, nostalgic aesthetic, hand-tinted appearance, artistic patina.","hyperrealistic tones, sharp, digital precision, contemporary.",
MK Herbarium,"Herbarium drawing{prompt}. Botanical accuracy, old botanical book illustration, detailed illustrations, pressed plants, delicate and precise linework, scientific documentation, meticulous presentation, educational purpose, organic compositions, timeless aesthetic, naturalistic beauty.","abstract, vibrant colors, chaotic, fantastical, digital art.",
MK Punk Collage,"punk collage style {prompt} . mixed media, papercut,textured paper, overlapping, ripped posters, safety pins, chaotic layers, graffiti-style elements, anarchy symbols, vintage photos, cut-and-paste aesthetic, bold typography, distorted images, political messages, urban decay, distressed textures, newspaper clippings, spray paint, rebellious icons, DIY spirit, vivid colors, punk band logos, edgy and raw compositions, ","conventional,blurry, noisy, low contrast",
MK mosaic,"mosaic style {prompt} . fragmented, assembled, colorful, highly detailed",monochrome,
MK Van Gogh,"Oil painting by Van Gogh {prompt} . Expressive, impasto, swirling brushwork, vibrant, brush strokes, Brushstroke-heavy, Textured, Impasto, Colorful, Dynamic, Bold, Distinctive, Vibrant, Whirling, Expressive, Dramatic, Swirling, Layered, Intense, Contrastive, Atmospheric, Luminous, Textural, Evocative, SpiraledVan Gogh style","realistic, photorealistic, calm, straight lines, signature, frame, text, watermark",
MK Coloring Book,"centered black and white high contrast line drawing, coloring book style,{prompt} . monochrome, blank white background","greyscale, gradients,shadows,shadow, colored, Red, Blue, Yellow, Green, Orange, Purple, Pink, Brown, Gray, Beige, Turquoise, Lavender, Cyan, Magenta, Olive, Indigo, black background",
MK Singer Sargent,"Oil painting by John Singer Sargent {prompt}. Elegant, refined, masterful technique,realistic portrayal, subtle play of light, captivating expression, rich details, harmonious colors, skillful composition, brush strokes, chiaroscuro.","realistic, photorealistic, abstract, overly stylized, excessive contrasts, distorted,bright colors,disorder.",
MK Pollock,"Oil painting by Jackson Pollock {prompt}. Abstract expressionism, drip painting, chaotic composition, energetic, spontaneous, unconventional technique, dynamic, bold, distinctive, vibrant, intense, expressive, energetic, layered, non-representational, gestural.","(realistic:1.5), (photorealistic:1.5), representational, calm, ordered composition, precise lines, detailed forms, subdued colors, quiet, static, traditional, figurative.",
MK Basquiat,"Artwork by Jean-Michel Basquiat {prompt}. Neo-expressionism, street art influence, graffiti-inspired, raw, energetic, bold colors, dynamic composition, chaotic, layered, textural, expressive, spontaneous, distinctive, symbolic,energetic brushstrokes.","(realistic:1.5), (photorealistic:1.5), calm, precise lines, conventional composition, subdued    ",
MK Andy Warhol,"Artwork in the style of Andy Warhol {prompt}. Pop art, vibrant colors, bold compositions, repetition of iconic imagery, celebrity culture, commercial aesthetics, mass production influence, stylized simplicity, cultural commentary, graphical elements, distinctive portraits.","subdued colors, realistic, lack of repetition, minimalistic.",
MK Halftone print,"Halftone print {prompt}. Dot matrix pattern, grayscale tones, vintage aesthetic, newspaper print vibe, stylized dots, visual texture, black and white contrasts, retro appearance, artistic pointillism,pop culture, (Roy Lichtenstein style:1.5).","smooth gradients, continuous tones, vibrant colors.",
MK Gond Painting,"Gond painting {prompt}. Intricate patterns, vibrant colors, detailed motifs, nature-inspired themes, tribal folklore, fine lines, intricate detailing, storytelling compositions, mystical and folkloric, cultural richness.","monochromatic, abstract shapes, minimalistic.",
MK Albumen Print,"Albumen print {prompt}. Sepia tones, fine details, subtle tonal gradations, delicate highlights, vintage aesthetic, soft and muted atmosphere, historical charm, rich textures, meticulous craftsmanship, classic photographic technique, vignetting.","vibrant colors, high contrast, modern, digital art, sharp details, contemporary style.",
MK Aquatint Print,"Aquatint print {prompt}. Soft tonal gradations, atmospheric effects, velvety textures, rich contrasts, fine details, etching process, delicate lines, nuanced shading, expressive and moody atmosphere, artistic depth.","sharp contrasts, bold lines, minimalistic.",
MK Anthotype Print,"Anthotype print {prompt}. Monochrome dye, soft and muted colors, organic textures, ephemeral and delicate appearance, low details, watercolor canvas, low contrast, overexposed, silhouette, textured paper.","vibrant synthetic dyes, saturated colors, bold colors.",
MK Inuit Carving,"Inuit art sculpture {prompt} made of ivory. Intricate carvings, natural materials, storytelling motifs, arctic wildlife themes, symbolic representations, cultural traditions, earthy tones, harmonious compositions, spiritual and mythological elements.","abstract, vibrant colors.",
MK Bromoil Print,"Bromoil print {prompt}. Painterly effects, sepia tones, textured surfaces, rich contrasts, expressive brushwork, tonal variations, vintage aesthetic, atmospheric mood, handmade quality, artistic experimentation, darkroom craftsmanship, vignetting.","smooth surfaces, minimal brushwork, contemporary, digital art.",
MK Calotype Print,"Calotype print {prompt}. Soft focus, subtle tonal range, paper negative process, fine details, vintage aesthetic, artistic experimentation, atmospheric mood, early photographic charm, handmade quality, vignetting.","sharp focus, bold contrasts, modern aesthetic, digital photography.",
MK Color Sketchnote,"Color sketchnote {prompt}. Hand-drawn elements, vibrant colors, visual hierarchy, playful illustrations, varied typography, graphic icons, organic and dynamic layout, personalized touches, creative expression, engaging storytelling.","monochromatic, geometric layout.",
MK Cibulak Porcelain,"Blue pattern porcelain {prompt}. Classic design, blue and white color scheme, intricate detailing, floral motifs, onion-shaped elements, historical charm, rococo, white ware, cobalt blue, underglaze pattern, fine craftsmanship, traditional elegance, delicate patterns, vintage aesthetic, Meissen, Blue Onion pattern, Cibulak.","bright colors, bold and modern design, absence of intricate detailing, lack of floral motifs, non-traditional shapes.",
MK Alcohol Ink Art,"Alcohol ink art {prompt}. Fluid and vibrant colors, unpredictable patterns, organic textures, translucent layers, abstract compositions, ethereal and dreamy effects, free-flowing movement, expressive brushstrokes, contemporary aesthetic, wet textured paper.","monochromatic, controlled patterns.",
MK One Line Art,"One line art {prompt}. Continuous and unbroken black line, minimalistic, simplicity, economical use of space, flowing and dynamic, symbolic representations, contemporary aesthetic, evocative and abstract, white background.","complexity, complex detailing.",
MK Blacklight Paint,"Blacklight paint {prompt}. Fluorescent pigments, vibrant and surreal colors, ethereal glow, otherworldly effects, dynamic and psychedelic compositions, neon aesthetics, transformative in ultraviolet light, contemporary and experimental.","muted colors, traditional.",
MK Carnival Glass,"Carnival glass {prompt}. Iridescent surfaces, vibrant colors, intricate patterns, opalescent hues, reflective and prismatic effects, Art Nouveau and Art Deco influences, vintage charm, intricate detailing, lustrous and luminous appearance.","muted colors, absence of intricate patterns, modern, minimalist.",
MK Cyanotype Print,"Cyanotype print {prompt}. Prussian blue tones, distinctive coloration, high contrast, blueprint aesthetics, atmospheric mood, sun-exposed paper, silhouette effects, delicate details, historical charm, handmade and experimental quality.","vibrant colors, low contrast, modern, polished.",
MK Cross-Stitching,"Cross-stitching {prompt}. Intricate patterns, embroidery thread, sewing, fine details, precise stitches, textile artistry, symmetrical designs, varied color palette, traditional and contemporary motifs, handmade and crafted,canvas, nostalgic charm.","paper, paint, ink, photography.",
MK Encaustic Paint,"Encaustic paint {prompt}. Textured surfaces, translucent layers, luminous quality, wax medium, rich color saturation, fluid and organic shapes, contemporary and historical influences, mixed media elements, atmospheric depth.","flat, opaque layers, muted color palette.",
MK Embroidery,"Embroidery {prompt}. Intricate stitching, embroidery thread, fine details, varied thread textures, textile artistry, embellished surfaces, diverse color palette, traditional and contemporary motifs, handmade and crafted, tactile and ornate.","minimalist, monochromatic.",
MK Gyotaku,"Gyotaku {prompt}. Fish impressions, realistic details, ink rubbings, textured surfaces, traditional Japanese art form, nature-inspired compositions, artistic representation of marine life, black and white contrasts, cultural significance.",photography.,
MK Luminogram,"Luminogram {prompt}. Photogram technique, ethereal and abstract effects, light and shadow interplay, luminous quality, experimental process, direct light exposure, unique and unpredictable results, artistic experimentation.","colors, vivid",
MK Lite Brite Art,"Lite Brite art {prompt}. Luminous and colorful designs, pixelated compositions, retro aesthetic, glowing effects, creative patterns, interactive and playful, nostalgic charm, vibrant and dynamic arrangements.",monochromatic.,
MK Mokume-gane,"Mokume-gane {prompt}. Wood-grain patterns, mixed metal layers, intricate and organic designs, traditional Japanese metalwork, harmonious color combinations, artisanal craftsmanship, unique and layered textures, cultural and historical significance.",uniform metal surfaces.,
Pebble Art,"Pebble art {prompt}. Natural materials, textured surfaces, balanced compositions, organic forms, harmonious arrangements, tactile and 3D effects, beach-inspired aesthetic, creative storytelling, artisanal craftsmanship.","non-natural materials, lack of textured surfaces, imbalanced compositions, absence of organic forms, non-tactile appearance.",
MK Palekh,"Palekh art {prompt}. Miniature paintings, intricate details, vivid colors, folkloric themes, lacquer finish, storytelling compositions, symbolic elements, Russian folklore influence, cultural and historical significance.",large-scale paintings.,
MK Suminagashi,"Suminagashi {prompt}. Floating ink patterns, marbled effects, delicate and ethereal designs, water-based ink, fluid and unpredictable compositions, meditative process, monochromatic or subtle color palette, Japanese artistic tradition.",vibrant and bold color palette.,
MK Scrimshaw,"Scrimshaw {prompt}. Intricate engravings on a spermwhale's teeth, marine motifs, detailed scenes, nautical themes, black and white contrasts, historical craftsmanship, artisanal carving, storytelling compositions, maritime heritage.","colorful, modern.",
MK Shibori,"Shibori {prompt}. Textured fabric, intricate patterns, resist-dyeing technique, indigo or vibrant colors, organic and flowing designs, Japanese textile art, cultural tradition, tactile and visual interest.",monochromatic.,
MK Vitreous Enamel,"Vitreous enamel {prompt}. Smooth and glossy surfaces, vibrant colors, glass-like finish, durable and resilient, intricate detailing, traditional and contemporary applications, artistic craftsmanship, jewelry and decorative objects.","rough, muted colors.",
MK Ukiyo-e,"Ukiyo-e {prompt}. Woodblock prints, vibrant colors, intricate details, depictions of landscapes, kabuki actors, beautiful women, cultural scenes, traditional Japanese art, artistic craftsmanship, historical significance."," muted colors, lack of intricate details.",
MK vintage-airline-poster,"vintage airline poster {prompt} . classic aviation fonts, pastel colors, elegant aircraft illustrations, scenic destinations, distressed textures, retro travel allure","modern fonts, bold colors, hyper-realistic, sleek design",
MK vintage-travel-poster,"vintage travel poster {prompt} . retro fonts, muted colors, scenic illustrations, iconic landmarks, distressed textures, nostalgic vibes","modern, vibrant colors, hyper-realistic, sleek design",
MK bauhaus-style,"Bauhaus-inspired {prompt} . minimalism, geometric precision, primary colors, sans-serif typography, asymmetry, functional design","ornate, intricate, excessive detail, complex patterns, serif typography",
MK afrofuturism,"Afrofuturism {prompt} . vibrant colors, futuristic elements, cultural symbolism, cosmic imagery, dynamic patterns, empowering narratives",monochromatic,
MK atompunk,"Atompunk {prompt} . retro-futuristic, atomic age aesthetics, sleek lines, metallic textures, futuristic technology, optimism, energy","organic, natural textures, rustic, dystopian",
MK constructivism,"Constructivism {prompt} . geometric abstraction, bold colors, industrial aesthetics, dynamic compositions, utilitarian design, revolutionary spirit","organic shapes, muted colors, ornate elements, traditional",
MK chicano-art,"Chicano art {prompt} . bold colors, cultural symbolism, muralism, lowrider aesthetics, barrio life, political messages, social activism, Mexico","monochromatic, minimalist, mainstream aesthetics",
MK de-stijl,"De Stijl {prompt} . neoplasticism, primary colors, geometric abstraction, horizontal and vertical lines, simplicity, harmony, utopian ideals","complex patterns, muted colors, ornate elements, asymmetry",
MK dayak-art,"Dayak art {prompt} . intricate patterns, nature-inspired motifs, vibrant colors, traditional craftsmanship, cultural symbolism, storytelling","minimalist, monochromatic
name,prompt,negative_prompt
MK dayak-art,""Dayak art {prompt} . intricate patterns, nature-inspired motifs, vibrant colors, traditional craftsmanship, cultural symbolism, storytelling","minimalist, monochromatic, modern"
MK fayum-portrait,"Fayum portrait {prompt} . encaustic painting, realistic facial features, warm earth tones, serene expressions, ancient Egyptian influences","abstract, vibrant colors, exaggerated, modern",
MK illuminated-manuscript,"Illuminated manuscript {prompt} . intricate calligraphy, rich colors, detailed illustrations, gold leaf accents, ornate borders, religious, historical, medieval","modern typography, minimalist design, monochromatic, abstract",
MK kalighat-painting,"Kalighat painting {prompt} . bold lines, vibrant colors, narrative storytelling, cultural motifs, flat compositions, expressive characters","subdued colors, intricate details, realistic portrayal, modern",
MK madhubani-painting,"Madhubani painting {prompt} . intricate patterns, vibrant colors, nature-inspired motifs, cultural storytelling, symmetry, folk art aesthetics","abstract, muted colors, minimalistic design, modern",
MK pictorialism,"Pictorialism illustration{prompt} . soft focus, atmospheric effects, artistic interpretation, tonality, muted colors, evocative storytelling","sharp focus, high contrast, realistic depiction, vivid colors",
MK pichwai-painting,"Pichwai painting {prompt} . intricate detailing, vibrant colors, religious themes, nature motifs, devotional storytelling, gold leaf accents","minimalist, subdued colors, abstract design",
MK patachitra-painting,"Patachitra painting {prompt} . bold outlines, vibrant colors, intricate detailing, mythological themes, storytelling, traditional craftsmanship","subdued colors, minimalistic, abstract, modern",
MK samoan-art-inspired,"Samoan art-inspired {prompt} . traditional motifs, natural elements, bold colors, cultural symbolism, storytelling, craftsmanship","modern aesthetics, minimalist, abstract",
MK tlingit-art,"Tlingit art {prompt} . formline design, natural elements, animal motifs, bold colors, cultural storytelling, traditional craftsmanship, Alaska traditional art, (totem:1.5)",,
MK adnate-style,"Painting by Adnate {prompt} . realistic portraits, street art, large-scale murals, subdued color palette, social narratives","abstract, vibrant colors, small-scale art",
MK ron-english-style,"Painting by Ron English {prompt} . pop-surrealism, cultural subversion, iconic mash-ups, vibrant and bold colors, satirical commentary","traditional, monochromatic",
MK shepard-fairey-style,"Painting by Shepard Fairey {prompt} . street art, political activism, iconic stencils, bold typography, high contrast, red, black, and white color palette","traditional, muted colors",
MK Negative (text),,"text, watermark, font, letter, signature, trademark, title",
